cup_diameter,grip_force,contact_stress,finger_stress,deflection,success_prob
30.0,5,0.13333333333333333,0.24,53.999999999999986,0.10539922456186433
30.0,8,0.21333333333333335,0.384,86.39999999999999,0.10539922456186433
30.0,10,0.26666666666666666,0.48,107.99999999999997,0.10539922456186433
30.0,12,0.32,0.5760000000000001,129.6,0.10539922456186433
30.0,15,0.4000000000000001,0.7200000000000002,161.99999999999997,0.10539922456186433
35.0,5,0.13,0.234,53.999999999999986,0.2096113871510978
35.0,8,0.208,0.3744,86.39999999999999,0.2096113871510978
35.0,10,0.26,0.468,107.99999999999997,0.2096113871510978
35.0,12,0.312,0.5616,129.6,0.2096113871510978
35.0,15,0.39000000000000007,0.7020000000000002,161.99999999999997,0.2096113871510978
40.0,5,0.076,0.1368,53.999999999999986,0.36787944117144233
40.0,8,0.1216,0.21888,86.39999999999999,0.36787944117144233
40.0,10,0.152,0.2736,107.99999999999997,0.36787944117144233
40.0,12,0.1824,0.32832,129.6,0.36787944117144233
40.0,15,0.228,0.41040000000000004,161.99999999999997,0.36787944117144233
45.0,5,0.074,0.13319999999999999,53.999999999999986,0.569782824730923
45.0,8,0.1184,0.21312,86.39999999999999,0.569782824730923
45.0,10,0.148,0.26639999999999997,107.99999999999997,0.569782824730923
45.0,12,0.1776,0.31968,129.6,0.569782824730923
45.0,15,0.222,0.3996,161.99999999999997,0.569782824730923
50.0,5,0.072,0.1296,53.999999999999986,0.7788007830714049
50.0,8,0.1152,0.20736,86.39999999999999,0.7788007830714049
50.0,10,0.144,0.2592,107.99999999999997,0.7788007830714049
50.0,12,0.1728,0.31104000000000004,129.6,0.7788007830714049
50.0,15,0.216,0.3888,161.99999999999997,0.7788007830714049
55.0,5,0.07,0.12600000000000003,53.999999999999986,1.0
55.0,8,0.112,0.2016,86.39999999999999,1.0
55.0,10,0.14,0.25200000000000006,107.99999999999997,1.0
55.0,12,0.168,0.3024,129.6,1.0
55.0,15,0.21,0.378,161.99999999999997,1.0
60.0,5,0.068,0.12240000000000001,53.999999999999986,1.0
60.0,8,0.1088,0.19584,86.39999999999999,1.0
60.0,10,0.136,0.24480000000000002,107.99999999999997,1.0
60.0,12,0.1632,0.29376,129.6,1.0
60.0,15,0.204,0.36719999999999997,161.99999999999997,1.0
65.0,5,0.066,0.1188,53.999999999999986,1.0
65.0,8,0.1056,0.19008,86.39999999999999,1.0
65.0,10,0.132,0.2376,107.99999999999997,1.0
65.0,12,0.1584,0.28512000000000004,129.6,1.0
65.0,15,0.198,0.35640000000000005,161.99999999999997,1.0
70.0,5,0.045714285714285714,0.08228571428571428,53.999999999999986,0.7788007830714049
70.0,8,0.07314285714285715,0.13165714285714286,86.39999999999999,0.7788007830714049
70.0,10,0.09142857142857143,0.16457142857142856,107.99999999999997,0.7788007830714049
70.0,12,0.10971428571428571,0.1974857142857143,129.6,0.7788007830714049
70.0,15,0.13714285714285712,0.24685714285714283,161.99999999999997,0.7788007830714049
75.0,5,0.04428571428571429,0.07971428571428572,53.999999999999986,0.569782824730923
75.0,8,0.07085714285714287,0.12754285714285718,86.39999999999999,0.569782824730923
75.0,10,0.08857142857142858,0.15942857142857145,107.99999999999997,0.569782824730923
75.0,12,0.10628571428571428,0.1913142857142857,129.6,0.569782824730923
75.0,15,0.13285714285714284,0.23914285714285713,161.99999999999997,0.569782824730923
80.0,5,0.04285714285714286,0.07714285714285715,53.999999999999986,0.36787944117144233
80.0,8,0.06857142857142857,0.12342857142857144,86.39999999999999,0.36787944117144233
80.0,10,0.08571428571428572,0.1542857142857143,107.99999999999997,0.36787944117144233
80.0,12,0.10285714285714284,0.1851428571428571,129.6,0.36787944117144233
80.0,15,0.12857142857142856,0.2314285714285714,161.99999999999997,0.36787944117144233
85.0,5,0.041428571428571426,0.07457142857142857,53.999999999999986,0.2096113871510978
85.0,8,0.0662857142857143,0.11931428571428573,86.39999999999999,0.2096113871510978
85.0,10,0.08285714285714285,0.14914285714285713,107.99999999999997,0.2096113871510978
85.0,12,0.09942857142857142,0.17897142857142856,129.6,0.2096113871510978
85.0,15,0.12428571428571428,0.2237142857142857,161.99999999999997,0.2096113871510978
90.0,5,0.04,0.07200000000000001,53.999999999999986,0.10539922456186433
90.0,8,0.064,0.11520000000000001,86.39999999999999,0.10539922456186433
90.0,10,0.08,0.14400000000000002,107.99999999999997,0.10539922456186433
90.0,12,0.09599999999999999,0.17279999999999998,129.6,0.10539922456186433
90.0,15,0.11999999999999998,0.21599999999999997,161.99999999999997,0.10539922456186433
